,full,long,lat,order,hole,piece,group,fips,abbr,V2,State,Median_IBU,l_state
222,Alaska,-1429931.619,-1816715.256,209,FALSE,1,2.1,2,AK,AK, AK,46,alaska
223,Alaska,-1426229.64,-1816477.006,210,FALSE,1,2.1,2,AK,AK, AK,46,alaska
224,Alaska,-1424583.217,-1817485.79,211,FALSE,1,2.1,2,AK,AK, AK,46,alaska
225,Alaska,-1420839.726,-1815296.596,212,FALSE,1,2.1,2,AK,AK, AK,46,alaska
226,Alaska,-1415485.146,-1818475.268,213,FALSE,1,2.1,2,AK,AK, AK,46,alaska
227,Alaska,-1414169.973,-1815922.999,214,FALSE,1,2.1,2,AK,AK, AK,46,alaska
228,Alaska,-1410873.135,-1810816.24,215,FALSE,1,2.1,2,AK,AK, AK,46,alaska
229,Alaska,-1409477.31,-1807646.117,216,FALSE,1,2.1,2,AK,AK, AK,46,alaska
230,Alaska,-1408236.685,-1806553.721,217,FALSE,1,2.1,2,AK,AK, AK,46,alaska
231,Alaska,-1405625.667,-1807053.986,218,FALSE,1,2.1,2,AK,AK, AK,46,alaska
232,Alaska,-1405340.268,-1808681.547,219,FALSE,1,2.1,2,AK,AK, AK,46,alaska
233,Alaska,-1403134.277,-1809428.326,220,FALSE,1,2.1,2,AK,AK, AK,46,alaska
234,Alaska,-1399298.916,-1808386.564,221,FALSE,1,2.1,2,AK,AK, AK,46,alaska
235,Alaska,-1400833.236,-1804191.405,222,FALSE,1,2.1,2,AK,AK, AK,46,alaska
236,Alaska,-1404949.429,-1801272.678,223,FALSE,1,2.1,2,AK,AK, AK,46,alaska
237,Alaska,-1409492.671,-1799602.741,224,FALSE,1,2.1,2,AK,AK, AK,46,alaska
198,Alaska,-1411666.667,-1799521.571,225,FALSE,1,2.1,2,AK,AK, AK,46,alaska
199,Alaska,-1415871.353,-1801684.376,226,FALSE,1,2.1,2,AK,AK, AK,46,alaska
200,Alaska,-1414545.564,-1796116.294,227,FALSE,1,2.1,2,AK,AK, AK,46,alaska
